Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_Elec_4x5.8",184.404000,-90.678000,270.000000,top
"C2","100n","C_0805_2012Metric",195.834000,-74.422000,90.000000,top
"C3","1uF","C_0805_2012Metric",180.594000,-90.678000,270.000000,top
"C4","1uF","C_0805_2012Metric",178.054000,-90.678000,270.000000,top
"C5","20pF","C_0805_2012Metric",194.818000,-92.710000,270.000000,top
"C6","20pF","C_0805_2012Metric",201.295000,-92.710000,90.000000,top
"C7","10uF","CP_Elec_4x5.8",123.698000,-83.566000,270.000000,top
"C8","1uF","C_0805_2012Metric",109.474000,-81.534000,90.000000,top
"C9","100n","C_0805_2012Metric",165.862000,-74.422000,270.000000,top
"C10","100n","C_0805_2012Metric",215.900000,-83.312000,90.000000,top
"C11","100nF","C_0805_2012Metric",42.672000,-109.982000,90.000000,top
"C12","100nF","C_0805_2012Metric",81.280000,-109.982000,90.000000,top
"C13","100nF","C_0805_2012Metric",118.872000,-109.982000,90.000000,top
"C14","100nF","C_0805_2012Metric",156.972000,-109.982000,90.000000,top
"C15","100nF","C_0805_2012Metric",195.326000,-109.982000,90.000000,top
"C16","100nF","C_0805_2012Metric",233.172000,-109.982000,90.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.590000,-101.600000,90.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",29.210000,-101.600000,90.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.830000,-101.600000,90.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.450000,-101.600000,90.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.070000,-101.600000,90.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",59.690000,-101.600000,90.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.310000,-101.600000,90.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.930000,-101.600000,90.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",82.550000,-101.600000,90.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.170000,-101.600000,90.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.790000,-101.600000,90.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",105.410000,-101.600000,90.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",113.030000,-101.600000,90.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",120.650000,-101.600000,90.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.270000,-101.600000,90.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",135.890000,-101.600000,90.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",143.510000,-101.600000,90.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",151.130000,-101.600000,90.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",158.750000,-101.600000,90.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",166.370000,-101.600000,90.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.990000,-101.600000,90.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.610000,-101.600000,90.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.230000,-101.600000,90.000000,top
