"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"conn_barrel";1;"12V_DC";;;
2;"C29,C17,C20,C11,C18,C10,C9,C2,C19,C22,C23,C24,C25,C26,C12,C13,C14,C15,C16,C21,C28,C30";"C_0805_2012Metric";22;"100nF";;;
3;"SC4,SC2,SC3,SC5,SC6,SC7,SC8,SC1";"MountingHole_3.2mm_M3_Pad_Via";8;"SCREW";;;
4;"J3";"barrel_jack_DC-005-5A-2_5-SMT";1;"12V_DC";;;
5;"P7";"generic_apds_9960_smd";1;"generic";;;
6;"P5";"sparkfun_apds_9960_smd";1;"qwiic";;;
7;"J2";"GCT_USB4110-GF-A";1;"USB4110-GF-A";;;
8;"U2";"SOT-223-3_TabPin2";1;"LM1117-5.0";;;
9;"R8,R7";"R_0805_2012Metric";2;"1k";;;
10;"D2,D3,D4,D10,D11,D17,D18,D19,D20,D21,D22,D23,D28,D29,D30,D41,D42,D43,D44,D45,D48,D49,D50,D51,D52,D60,D61,D62,D63,D67,D68,D1,D5,D6,D7,D8,D9,D12,D13,D14,D15,D16,D24,D25,D26,D27,D31,D32,D37,D38,D39,D40,D46,D47,D53,D54,D55,D56,D57,D58,D59,D64,D65,D66";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";64;"WS2812B";;;
11;"D33,D34";"D_SMB";2;"MBRS240LT3G";;;
12;"C6,C5";"C_0805_2012Metric";2;"20pF";;;
13;"R1,R2,R3,R4,R12,R13,R14,R15";"R_0805_2012Metric";8;"10k";;;
14;"B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21";"breakout_smd";21;"I_O";;;
15;"C3,C4,C8";"C_0805_2012Metric";3;"1uF";;;
16;"D35";"LED_0805_2012Metric";1;"LED_PWR";;;
17;"D36";"LED_0805_2012Metric";1;"LED_BLNK";;;
18;"P1";"PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"LED_IN";;;
19;"P2";"PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left";1;"FTDI";;;
20;"R5,R6";"R_0805_2012Metric";2;"5k11";;;
21;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATMEGA328";;;
22;"X1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
23;"G1";"logo_halo";1;"logo_halo";;;
24;"G4";"logo_wyolum";1;"logo_wyolum";;;
25;"G2";"logo_KiCad_12mm_SilkScreen";1;"logo_kicad";;;
26;"G3";"logo_OSHW_11.4x12mm_SilkScreen";1;"logo_OSH";;;
27;"SW2";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"MODE";;;
28;"R9,R10";"R_0805_2012Metric";2;"220E";;;
29;"P3";"TC2030-IDC";1;"SPI";;;
30;"P6";"PinHeader_2x04_P2.54mm_Vertical_SMD";1;"USB_header";;;
31;"R11";"R_0805_2012Metric";1;"0E";;;
32;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"RST";;;
33;"P4";"PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"LED_OUT";;;
34;"G5";"logo_halo_10mm";1;"logo_halo";;;
35;"C1,C7,C27";"CP_Elec_6.3x7.7";3;"100uF";;;
36;"Q1";"SOT-363_SC-70-6";1;"2N7002DW-7-F";;;
37;"U3";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
38;"P8";"PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"AUX_DC_OUT";;;
